"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_587_length_1278_cov_0.512073_2",6.67322791966837,3.56799127001156,1.18288564257777,3.01634506463035,0.00255841928311961,0.0223977979058563
"NODE_590_length_1270_cov_1.007544_2",23.2443420948318,-1.9329749389075,0.511979192550707,-3.77549511197383,0.000159690156156599,0.00226816549231275
"NODE_590_length_1270_cov_1.007544_3",20.1275834031553,-2.37963743849501,0.609727186290801,-3.90279044792349,9.50900248596744e-05,0.00146280661245793
"NODE_620_length_1243_cov_0.679245_1",10.1481597850181,2.90434441459207,0.871981109025618,3.33074235729428,0.000866147284682557,0.00924747431971438
"NODE_635_length_1222_cov_1.834061_2",40.8322875571893,2.41286024020692,0.422524074775545,5.71058641212027,1.12587552999026e-08,4.84025953294922e-07
"NODE_635_length_1222_cov_1.834061_3",40.8121622373757,2.21396478836717,0.399163163395383,5.54651578951982,2.91418322357013e-08,1.17914220348657e-06
"NODE_636_length_1219_cov_0.885289_1",11.3322722598382,-2.28988915407478,0.815314983325991,-2.80859447073255,0.00497582810658208,0.0389570932247036
"NODE_638_length_1218_cov_2.899211_2",108.457774046899,-1.90678936155128,0.237271043935118,-8.03633401668977,9.25661964587388e-16,1.01296871806552e-13
"NODE_656_length_1207_cov_1.082301_1",46.6376027242919,-3.45811715391528,0.440723550572805,-7.84645419883007,4.2796494774777e-15,4.57922494090114e-13
"NODE_659_length_1206_cov_0.740248_1",35.3081593705514,-1.77563831334568,0.414822597210016,-4.28047634166542,1.86493712957166e-05,0.000375718505392785
"NODE_668_length_1196_cov_1.282395_1",51.8179350118954,1.33229785586939,0.331049066825904,4.02447247063238,5.71031731594142e-05,0.000957608364726923
"NODE_675_length_1189_cov_3.408273_1",28.7194171928037,-1.4970610606311,0.447753392100622,-3.34349462682501,0.000827302961278844,0.0089516039518149
"NODE_675_length_1189_cov_3.408273_2",14.7170994670499,-2.65010998508466,0.667436341767004,-3.9705808917576,7.16976073943858e-05,0.00116629722839178
"NODE_690_length_1178_cov_2.321526_1",11.7352892508552,1.99984167044452,0.716799940041894,2.78995792093348,0.00527148922717245,0.0404820105723052
"NODE_690_length_1178_cov_2.321526_2",22.114292078584,1.56959139606818,0.506107991565481,3.10129739546922,0.00192674673984796,0.018014146703627
"NODE_711_length_1161_cov_0.677122_1",60.1471686334353,9.17299639508415,1.2097423181228,7.58260354925685,3.38688573162873e-14,3.19761858780242e-12
"NODE_715_length_1159_cov_0.652495_1",38.6350571553935,1.40598297090788,0.383174251034363,3.66930441466902,0.00024321133002005,0.00326201268536641
"NODE_720_length_1155_cov_12.758813_1",5.89910547366004,4.09973847297038,1.35411698450562,3.02761025811013,0.00246495772738245,0.0217376766618068
"NODE_737_length_1146_cov_0.659495_1",60.1770546475846,-1.22282588348307,0.319286103868304,-3.82987505145995,0.000128208341444346,0.0018878384221851
"NODE_757_length_1133_cov_1.012311_2",18.7183506758292,-1.98671794723371,0.604557408928542,-3.28623538127631,0.00101536124669358,0.0105821740320987
"NODE_757_length_1133_cov_1.012311_3",30.9965483796187,-4.51622287257966,0.649593052586352,-6.95238789053906,3.59154232779883e-12,2.62019338005324e-10
"NODE_758_length_1133_cov_0.843750_1",8.70120756577265,4.6172161524673,1.2391453648848,3.7261295432409,0.000194442500217118,0.00266735224656815
"NODE_831_length_1096_cov_1.326791_1",14.163804986545,5.33349309661987,1.16639013201099,4.57264936511794,4.81595682482206e-06,0.000117709807672681
"NODE_854_length_1084_cov_1.345581_1",53.300764808226,-1.34097169508467,0.40260535166787,-3.3307348984047,0.000866170491836175,0.00924747431971438
"NODE_857_length_1079_cov_0.875498_1",6.48481494217109,-3.15702761673008,1.10565858757771,-2.85533676688255,0.00429912159901552,0.0346158369552838
"NODE_908_length_1052_cov_0.568205_1",72.9301792834216,-3.40711362283714,0.368900092198848,-9.23587088994438,2.56193316076133e-20,4.25369247209166e-18
"NODE_908_length_1052_cov_0.568205_2",129.654419378445,-3.33005722475635,0.251722050433738,-13.2291041607932,5.95934206133396e-40,2.20724861733254e-37
"NODE_931_length_1037_cov_0.779167_1",72.7707733426113,-1.14010341617893,0.289947035106038,-3.9321092411308,8.42037831769524e-05,0.00132065542670041
"NODE_944_length_1030_cov_1.495278_1",2.84115028809502,-4.92923502031926,1.75058000765345,-2.81577248612967,0.00486601128306945,0.03840958086554
"NODE_952_length_1027_cov_0.972632_1",25.5396527133871,-2.46498179992628,0.533011525598834,-4.62463132885708,3.75265260557217e-06,9.46022109729319e-05
"NODE_968_length_1018_cov_1.383634_1",11.0938691400984,-3.60418927983177,0.934741697485382,-3.85581309738044,0.000115345593524602,0.00172481066093466
"NODE_987_length_1009_cov_0.898069_2",34.6970480171928,-1.3116763961522,0.401515113206512,-3.26681699644408,0.00108763963986523,0.0111425209913853
"NODE_1074_length_970_cov_1.360582_2",7.51872992745779,3.38255865323626,1.10582817576534,3.05884650741079,0.0022219095940054,0.0200722226925629
"NODE_1114_length_953_cov_0.946347_1",17.0976308857884,2.15009849400338,0.612856603692391,3.50832230745215,0.00045094236505095,0.00541468201426515
"NODE_1132_length_942_cov_0.669364_1",21.6461576700553,6.88300589712832,1.26876770346304,5.42495358160639,5.79696028416551e-08,2.16374912932224e-06
"NODE_1159_length_931_cov_1.365340_1",34.5301070151542,-4.64079605724077,0.653947383563219,-7.0965893799499,1.27873259573041e-12,9.93080233619663e-11
"NODE_1175_length_923_cov_0.434988_1",4.08692972913884,5.36937697108078,1.6384674268224,3.27707275908072,0.00104889336667636,0.0108845292253161
"NODE_1181_length_919_cov_0.603325_2",78.7083792220091,-1.18554074753923,0.280384893068038,-4.22826185307904,2.35503611439151e-05,0.000450614938465988
"NODE_1209_length_904_cov_0.795647_1",13.4979363065343,-1.82597992610411,0.674409551362248,-2.70752382200962,0.00677872056454257,0.0498313580431641
"NODE_1267_length_885_cov_9.889851_1",41.4840389291097,1.31250023182521,0.386776930814647,3.39342946090596,0.000690233326719728,0.00771107533214731
"NODE_1364_length_852_cov_0.552258_1",4.06123557565547,5.48493392747739,1.69225964141613,3.24118935016817,0.00119032090486878,0.011983930995649
"NODE_1369_length_850_cov_0.417853_1",146.841494150953,-1.67396809850769,0.216480318558188,-7.73265722102004,1.05324618676849e-14,1.1024739976718e-12
"NODE_1407_length_835_cov_0.973615_1",25.3487451140714,-8.17644033164806,1.27066243530284,-6.4347855925239,1.23647743955491e-10,7.08766532316296e-09
"NODE_1446_length_823_cov_1.639410_1",17.9581483768697,-2.82467784662472,0.696489987066867,-4.05559002868125,5.00079059486221e-05,0.000859957382652198
"NODE_1459_length_821_cov_0.602151_2",74.9347538707469,-1.51276782397963,0.282484764962995,-5.35521915377562,8.54527802301993e-08,3.04781582821044e-06
"NODE_1461_length_820_cov_2.931359_1",47.9858869013481,2.17929431338613,0.418453424892304,5.20797341770356,1.90914266617785e-07,6.1283479584309e-06
"NODE_1464_length_820_cov_0.768506_1",21.2851529789859,-4.98531837217334,0.88410511155815,-5.63882993888272,1.7120951655614e-08,7.10667088118806e-07
"NODE_1473_length_816_cov_0.852503_1",1781.41717833665,-1.17325301066187,0.0850941492969975,-13.7877047993859,3.02223212000287e-43,1.32291342343762e-40
"NODE_1495_length_809_cov_0.904372_1",17.5426797151033,1.71160374908112,0.615660927971153,2.7801078017433,0.00543408558161487,0.0415979683234906
"NODE_1496_length_809_cov_0.762295_1",8.81307151096982,3.19635811446017,0.991305701256813,3.22439194126263,0.00126240489682922,0.0125107210370804
"NODE_1503_length_806_cov_0.639232_1",11.9071081632059,4.51189843343262,1.04671908894039,4.31051509531567,1.62874709473361e-05,0.000338035226773377
"NODE_1516_length_802_cov_0.491034_2",5.89250379142725,5.648337068713,1.5267676333028,3.6995394358041,0.00021599107768313,0.00293784474306291
"NODE_1521_length_800_cov_39.385892_1",12.7669347787069,-4.24222063133664,0.962655032030592,-4.40679214275569,1.0491277624534e-05,0.000232790330701065
"NODE_1535_length_795_cov_0.701950_2",31.454350883523,1.20519251755462,0.441760985817804,2.72815517043345,0.00636896405038136,0.0476929423057329
"NODE_1584_length_781_cov_0.487216_1",11.6113644385224,-2.02639110708057,0.738265702640473,-2.74479919605232,0.00605479335329396,0.0456241470987643
"NODE_1603_length_774_cov_0.586801_1",13.6446606207443,-3.20812273138521,0.779281082108693,-4.1167722469333,3.84215413833889e-05,0.000685184154670435
"NODE_1692_length_752_cov_0.631111_2",323.709267306355,2.46825737531805,0.153196259587273,16.1117339415975,2.11022604195185e-58,1.69345639866636e-55
"NODE_1748_length_742_cov_0.775940_1",78.223311398945,-1.32102419999699,0.28952853646182,-4.56267356627624,5.05063098028949e-06,0.000122822162475222
"NODE_1754_length_740_cov_0.651584_1",6.92284461538828,-3.2737038875336,1.08599923012123,-3.01446243858584,0.00257435085611415,0.0224963690965329
"NODE_1823_length_725_cov_1.674383_1",13.1248792942395,-3.00415463939061,0.774471591287664,-3.87897331959691,0.00010489825810932,0.00158333891158738
