"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_3_length_17292_cov_16.853993_6",0.687443211602443,1.52861238788052,2.9040335575101,0.526375593672941,0.59862726977887,NA
"NODE_3_length_17292_cov_16.853993_7",4.43622701930657,-1.75881464176078,1.23522052920946,-1.42388715226941,0.154479141519094,0.430365320557815
"NODE_3_length_17292_cov_16.853993_8",0.83019425650417,-0.460741085058961,2.9120941012738,-0.158216413699483,0.874286270393514,NA
"NODE_3_length_17292_cov_16.853993_9",6.28260922146033,-0.44828818782067,0.923456220626496,-0.485446064261217,0.627359963315645,0.855490859066789
"NODE_3_length_17292_cov_16.853993_10",17.18323573504,0.00938151245914116,0.549146202843257,0.017083815586027,0.986369750320937,0.99482806069399
"NODE_3_length_17292_cov_16.853993_11",21.4263330782288,-0.437486786047598,0.494445903436639,-0.884802124978391,0.376263363180906,0.700583176224308
"NODE_3_length_17292_cov_16.853993_12",108.19041221132,-1.03902260008847,0.233956164239708,-4.44109948316601,8.95004033705197e-06,0.000203275680296723
"NODE_4_length_10523_cov_3.619854_1",4.06204544460752,-0.415795271010983,1.25600540806668,-0.33104576488329,0.740609917232948,0.902851695773438
"NODE_4_length_10523_cov_3.619854_2",17.7261857872935,-1.15492696086675,0.585129840684495,-1.97379603733027,0.0484049396196719,0.20498661765059
"NODE_4_length_10523_cov_3.619854_3",14.8633645304895,-1.94987783456755,0.634909120937871,-3.07111328261789,0.00213262222077792,0.0195220075913416
"NODE_4_length_10523_cov_3.619854_4",10.9495026443119,-0.989800549058786,0.710903043559504,-1.39231440633991,0.163827210892378,0.445162539755529
"NODE_4_length_10523_cov_3.619854_5",64.91955251006,-2.06744424313416,0.30948970702429,-6.68017125032173,2.38663193375362e-11,1.49241983909398e-09
"NODE_4_length_10523_cov_3.619854_6",393.29590428691,-0.107484556290405,0.135873970821497,-0.791060683959932,0.428908580450506,0.742498863234149
"NODE_5_length_10358_cov_3.958082_1",0.363362202008169,-2.01198953171735,4.03153627677311,-0.499062737772949,0.617735187081674,NA
"NODE_5_length_10358_cov_3.958082_2",0,NA,NA,NA,NA,NA
"NODE_5_length_10358_cov_3.958082_3",110.463826086425,-4.57495877364123,0.356454098665141,-12.8346364672861,1.04894179543986e-37,3.60761053217353e-35
"NODE_6_length_9445_cov_1.904787_1",0,NA,NA,NA,NA,NA
"NODE_6_length_9445_cov_1.904787_2",0,NA,NA,NA,NA,NA
"NODE_6_length_9445_cov_1.904787_3",0,NA,NA,NA,NA,NA
"NODE_6_length_9445_cov_1.904787_4",0,NA,NA,NA,NA,NA
"NODE_6_length_9445_cov_1.904787_5",0,NA,NA,NA,NA,NA
"NODE_6_length_9445_cov_1.904787_6",0,NA,NA,NA,NA,NA
"NODE_6_length_9445_cov_1.904787_7",0,NA,NA,NA,NA,NA
"NODE_6_length_9445_cov_1.904787_8",48.8264767455344,-0.880810150983676,0.375817606212025,-2.34371710219119,0.0190926469032132,0.107773850924937
"NODE_6_length_9445_cov_1.904787_9",0,NA,NA,NA,NA,NA
"NODE_6_length_9445_cov_1.904787_10",6.46437828007784,-0.498905765170633,1.06428755527733,-0.468769706736476,0.639234255345485,0.859609703366651
"NODE_6_length_9445_cov_1.904787_11",0,NA,NA,NA,NA,NA
"NODE_7_length_9282_cov_1.796632_1",19.7698499076662,-5.32464138781475,0.983917111254174,-5.41167678345136,6.2437311983657e-08,2.3125819784716e-06
"NODE_7_length_9282_cov_1.796632_2",1.51762800435468,-4.06277460397848,2.13367599600539,-1.90411974994549,0.0568945900860107,NA
"NODE_7_length_9282_cov_1.796632_3",0.457047587108421,-2.3199287331844,3.91379850059817,-0.592756303838798,0.553344254716967,NA
"NODE_7_length_9282_cov_1.796632_4",5.9332301372485,-5.04453930894698,1.47148925093007,-3.42818631244404,0.00060762829654518,0.0069494780234324
"NODE_7_length_9282_cov_1.796632_5",11.7314360030885,-5.13040214700672,1.21234828376189,-4.23178901287934,2.3183983967916e-05,0.000446523531222061
"NODE_7_length_9282_cov_1.796632_6",0.49645805635927,-2.46316913460606,3.8266412366116,-0.643689591550824,0.519776740688719,NA
"NODE_7_length_9282_cov_1.796632_7",24.5389750383099,-7.10898825387965,1.25671951199866,-5.65678195174486,1.54237508483421e-08,6.57215578183781e-07
